Date,Timestamp,Open,High,Low,Close,Volume
20150101,00:00:00,1.21038,1.21073,1.20783,1.20869,5732.38998009264
20150102,00:00:00,1.20871,1.2089,1.20004,1.20017,119383.709762126
20150104,00:00:00,1.19495,1.19537,1.18677,1.19469,13740.6400141865
20150105,00:00:00,1.19469,1.19762,1.18872,1.19374,159296.569872916
20150106,00:00:00,1.19374,1.19687,1.18461,1.18722,177669.789750762
20150107,00:00:00,1.18722,1.18966,1.18022,1.18337,181679.829730265
20150108,00:00:00,1.18337,1.18475,1.17543,1.1792,150219.799782597
20150109,00:00:00,1.1792,1.1846,1.17629,1.18406,167943.649845622
20150111,00:00:00,1.18452,1.18699,1.1845,1.18697,4748.7699989602
20150112,00:00:00,1.18697,1.18708,1.17861,1.18318,163540.099939123
20150113,00:00:00,1.18319,1.18596,1.17531,1.1777,190749.389883474
20150114,00:00:00,1.17771,1.18464,1.17273,1.1784,214321.41985555
20150115,00:00:00,1.1784,1.17903,1.15675,1.1636,286756.329652555
20150116,00:00:00,1.16361,1.16487,1.146,1.15626,243185.729601681
20150118,00:00:00,1.15515,1.15735,1.15515,1.15612,4557.41999230534
20150119,00:00:00,1.15614,1.16388,1.15514,1.15947,140976.889547199
20150120,00:00:00,1.15946,1.1615,1.15405,1.15454,152910.86955566
20150121,00:00:00,1.15454,1.16799,1.15412,1.16147,177131.779417872
20150122,00:00:00,1.16146,1.16505,1.1316,1.13467,208738.829593562
20150123,00:00:00,1.13468,1.1374,1.11146,1.1202,228253.389720812
20150125,00:00:00,1.11521,1.11562,1.10979,1.11417,12903.0599959418
20150126,00:00:00,1.11417,1.12954,1.11381,1.12496,177766.559626333
20150127,00:00:00,1.12496,1.14225,1.12237,1.13678,179735.759751447
20150128,00:00:00,1.13678,1.13821,1.12725,1.1283,175837.869310685
20150129,00:00:00,1.12829,1.13678,1.12619,1.13337,170749.179697044
20150130,00:00:00,1.13338,1.13635,1.12783,1.1285,170262.089635357
20150201,00:00:00,1.13112,1.13192,1.13005,1.1307,5791.96999315917
20150202,00:00:00,1.1307,1.13621,1.12922,1.13387,149828.059721693
20150203,00:00:00,1.13386,1.15338,1.13124,1.14565,192626.689372167
20150204,00:00:00,1.14564,1.14848,1.13039,1.13165,170795.249593042
20150205,00:00:00,1.13165,1.14988,1.13159,1.14705,159348.819677807
20150206,00:00:00,1.14705,1.14735,1.13119,1.13128,140728.589676596
20150208,00:00:00,1.12957,1.13254,1.12953,1.13135,6161.43998210132
20150209,00:00:00,1.13135,1.13595,1.12703,1.13242,145020.26966688
20150210,00:00:00,1.13242,1.13454,1.12729,1.13185,152770.719541043
20150211,00:00:00,1.13185,1.13516,1.128,1.13108,148970.889595449
20150212,00:00:00,1.13109,1.14228,1.13034,1.14037,172088.109724216
20150213,00:00:00,1.14037,1.14427,1.138,1.13877,143354.57969445
20150215,00:00:00,1.1399,1.14006,1.13891,1.13975,6695.20998303592
20150216,00:00:00,1.13975,1.1429,1.13193,1.13322,104142.499842733
20150217,00:00:00,1.13322,1.14489,1.13218,1.14039,146227.4798778
20150218,00:00:00,1.14039,1.14156,1.13339,1.13995,154129.0798705
20150219,00:00:00,1.13995,1.145,1.13552,1.13657,137692.979881167
20150220,00:00:00,1.13655,1.14297,1.1279,1.13773,176909.719859794
20150222,00:00:00,1.13911,1.13961,1.13771,1.13802,4454.52999949455
20150223,00:00:00,1.13802,1.13932,1.12951,1.13336,121740.699958764
20150224,00:00:00,1.13336,1.13581,1.12883,1.13393,155389.859911025
20150225,00:00:00,1.13392,1.13886,1.13358,1.13638,151797.049919322
20150226,00:00:00,1.13637,1.13796,1.11836,1.12026,166406.699951552
20150227,00:00:00,1.12024,1.12451,1.11756,1.1197,167008.629873872
20150301,00:00:00,1.11808,1.11867,1.11601,1.11607,6453.10998842865
20150302,00:00:00,1.11609,1.12405,1.11609,1.11766,128399.039912149
20150303,00:00:00,1.11765,1.12175,1.11546,1.11827,144211.199834526
20150304,00:00:00,1.11826,1.11856,1.10616,1.1079,154637.499909386
20150305,00:00:00,1.10791,1.11142,1.09874,1.10316,170648.929768823
20150306,00:00:00,1.10316,1.10325,1.0839,1.0844,165727.65991883
20150308,00:00:00,1.08302,1.08463,1.08228,1.08446,8227.29998131841
20150309,00:00:00,1.08445,1.09065,1.08296,1.08348,143704.099619076
20150310,00:00:00,1.08351,1.08368,1.06679,1.07066,228231.39978531
20150311,00:00:00,1.07065,1.0717,1.05112,1.05477,262298.239488877
20150312,00:00:00,1.05478,1.06837,1.0494,1.06264,238100.169877596
20150313,00:00:00,1.06267,1.06347,1.04624,1.04943,203399.769828051
20150315,00:00:00,1.04701,1.05054,1.04697,1.04837,7966.10999809206
20150316,00:00:00,1.04837,1.06193,1.04834,1.05717,164906.57990703
20150317,00:00:00,1.05715,1.06507,1.05514,1.0595,159779.329892851
20150318,00:00:00,1.05948,1.10351,1.05799,1.08485,213461.239899844
20150319,00:00:00,1.08486,1.09193,1.06128,1.06688,248335.699917816
20150320,00:00:00,1.0669,1.08816,1.06555,1.0816,186733.209924459
20150322,00:00:00,1.08404,1.08828,1.08155,1.08251,12113.1499926671
20150323,00:00:00,1.08253,1.09713,1.07673,1.09441,258421.709865816
20150324,00:00:00,1.09441,1.10292,1.08904,1.09045,220623.399876982
20150325,00:00:00,1.09045,1.10144,1.09042,1.09632,197666.639970832
20150326,00:00:00,1.09631,1.10522,1.08564,1.08848,257044.899924211
20150327,00:00:00,1.0885,1.09485,1.08011,1.08874,223256.37993367
20150329,00:00:00,1.08861,1.0895,1.08802,1.08828,8485.62999604642
20150330,00:00:00,1.08828,1.08842,1.08098,1.08292,182633.600029156
20150331,00:00:00,1.08289,1.08455,1.0713,1.07399,204475.309947297
20150401,00:00:00,1.07398,1.07999,1.07184,1.07695,194190.039956659
20150402,00:00:00,1.07694,1.0905,1.07502,1.08697,189762.010017276
20150403,00:00:00,1.08699,1.1027,1.08638,1.09713,91984.5199764147
20150405,00:00:00,1.10004,1.10178,1.09877,1.09946,11020.7099820375
20150406,00:00:00,1.09946,1.10356,1.091,1.09343,108858.459908299
20150407,00:00:00,1.09343,1.09547,1.08032,1.0822,189290.599833868
20150408,00:00:00,1.0822,1.08873,1.07629,1.07846,212964.409846224
20150409,00:00:00,1.07848,1.07886,1.06377,1.06665,189056.569768019
20150410,00:00:00,1.06665,1.06837,1.05679,1.06022,171200.249720857
20150412,00:00:00,1.05853,1.0617,1.05849,1.06064,9540.7700015977
20150413,00:00:00,1.06064,1.0619,1.05203,1.05719,181537.009820394
20150414,00:00:00,1.05717,1.07074,1.05315,1.06466,192790.229698874
20150415,00:00:00,1.06466,1.07017,1.05708,1.06763,207598.909721769
20150416,00:00:00,1.06763,1.08175,1.06247,1.0758,280074.08963047
20150417,00:00:00,1.07581,1.08487,1.07335,1.08048,220402.639780059
20150419,00:00:00,1.08186,1.0821,1.07887,1.08082,8735.29999447614
20150420,00:00:00,1.08082,1.08185,1.07124,1.07485,204972.42971684
20150421,00:00:00,1.07485,1.07811,1.06599,1.07384,198316.829464711
20150422,00:00:00,1.07383,1.08008,1.07086,1.07245,222413.979552284
20150423,00:00:00,1.07247,1.08452,1.06659,1.08138,243734.069480479
20150424,00:00:00,1.08138,1.09,1.07848,1.08706,226494.058932185
20150426,00:00:00,1.08634,1.08744,1.08594,1.08655,8254.15999424458
20150427,00:00:00,1.08657,1.09266,1.08192,1.08764,197673.648903027
20150428,00:00:00,1.08761,1.0991,1.08598,1.09677,212064.538705528
20150429,00:00:00,1.09678,1.11879,1.09595,1.11121,268375.668712229
20150430,00:00:00,1.11121,1.12662,1.10712,1.12116,282180.09849523
20150501,00:00:00,1.12117,1.129,1.11746,1.11948,161846.939213268
20150503,00:00:00,1.11918,1.12005,1.11822,1.11885,8498.58998253942
20150504,00:00:00,1.11885,1.12245,1.11228,1.11487,170489.26910191
20150505,00:00:00,1.11487,1.12231,1.10663,1.11797,234895.638721056
20150506,00:00:00,1.11794,1.137,1.1175,1.13391,240872.408680141
20150507,00:00:00,1.13391,1.13916,1.12282,1.12444,253915.248661295
20150508,00:00:00,1.12445,1.1288,1.1179,1.12015,234932.628780961
20150510,00:00:00,1.11975,1.12065,1.11919,1.11958,10856.9599770084
